get_in_M,Avr gets
14,115
19,120
24,125
29,65
34,67.5
39,70
44,36.25
49,37.5
54,38.75
59,32
64,33
69,34
74,35
79,36
84,37
89,38
94,39
99,33.3333
104,29.2857
109,30
114,30.7143
119,31.4286
124,28.125
129,25.5556
134,26.1111
139,26.6667
144,27.2222
149,27.7778
154,25.5
159,23.6364
164,24.0909
169,24.5455
174,25
179,23.3333
184,23.75
189,24.1667
194,24.5833
199,23.0769
204,23.4615
209,23.8462
214,24.2308
219,24.6154
224,25
229,25.3846
234,25.7692
239,26.1538
244,26.5385
254,27.3077
259,25.7143
264,26.0714
269,26.4286
274,26.7857
279,25.3333
284,25.6667
289,26
294,26.3333
299,26.6667
304,25.3125
309,24.1176
314,24.4118
319,24.7059
324,25
329,25.2941
334,25.5882
339,24.4444
344,24.7222
349,25
354,23.9474
359,24.2105
364,24.4737
369,24.7368
374,25
379,25.2632
384,25.5263
389,25.7895
399,26.3158
404,26.5789
409,26.8421
414,27.1053
419,27.3684
424,27.6316
429,27.8947
434,28.1579
439,28.4211
444,28.6842
449,26.1905
454,26.4286
459,26.6667
464,26.9048
469,27.1429
474,27.381
479,26.3636
484,26.5909
489,25.6522
494,24.7917
499,24
504,24.2
509,23.4615
514,23.6538
519,22.963
524,23.1481
529,23.3333
534,23.5185
539,23.7037
544,22.2414
549,22.4138
554,22.5862
559,22.7586
564,22.1667
569,22.3333
574,21.7742
579,21.9355
584,21.4063
589,21.5625
594,21.0606
599,21.2121
604,21.3636
609,20.8824
614,21.0294
619,21.1765
624,21.3235
634,21.6176
639,21.1429
644,21.2857
649,21.4286
654,21.5714
659,21.7143
664,21.8571
669,22
674,22.1429
679,22.2857
684,22.4286
689,22.5714
694,22.0833
699,22.2222
704,22.3611
709,21.8919
714,22.027
719,22.1622
724,22.2973
729,22.4324
734,22.5676
739,22.1053
744,22.2368
749,21.7949
754,21.9231
759,22.0513
764,21.625
769,21.75
774,20.3488
779,20.4651
784,20.1136
789,20.2273
794,20.3409
799,20.4545
804,20.1111
809,20.2222
814,20.3333
819,20.4444
824,20.5556
829,20.6667
834,20.7778
839,20.8889
844,21
849,20.6522
854,20.3191
859,20
864,19.6939
869,19.7959
874,19.898
879,19.6
884,19.3137
889,19.4118
894,19.5098
899,19.6078
904,19.7059
909,19.8039
914,19.5192
919,19.6154
924,19.7115
929,19.8077
934,19.9038
939,20
944,20.0962
949,20.1923
954,20.2885
959,20.3846
964,20.0943
969,20.1887
974,20.283
984,19.7273
989,19.4643
994,19.5536
999,19.6429
1004,19.7321
1009,19.1379
1014,18.8983
1019,18.9831
1024,19.0678
1029,19.1525
1034,19.2373
1039,19
1044,19.0833
1054,18.9344
1059,19.0164
1064,18.7903
1069,18.871
1074,18.6508
1079,18.7302
1084,18.8095
1089,18.8889
1094,18.9683
1099,18.4615
1104,18.5385
1109,18.6154
1114,18.6923
1119,18.7692
1124,18.8462
1129,18.6364
1134,18.7121
1139,18.7879
1144,18.8636
1149,18.6567
1154,18.7313
1159,18.5294
1164,18.3333
1169,18.1429
1174,18.2143
1179,18.2857
1184,18.0986
1189,18.169
1194,18.2394
1199,18.3099
1204,18.3803
1209,18.1944
1214,18.2639
1219,18.3333
1224,18.4028
1229,18.4722
1234,18.5417
1239,18.3562
1244,18.4247
1249,18.4932
1254,18.3108
1259,17.8947
1264,17.7273
1269,17.7922
1274,17.8571
1279,17.9221
1284,17.987
1289,18.0519
1294,17.8846
1299,17.9487
1304,18.0128
1309,18.0769
1314,18.141
1319,18.2051
1324,18.2692
1329,18.1013
1334,18.1646
1339,18.2278
1344,18.2911
1349,18.3544
1354,18.4177
1359,18.481
1364,18.5443
1369,18.6076
1374,18.4375
1379,18.5
