gets,D_17_24,D_1_16,D_25_40
5,#DIV/0!,#DIV/0!,#DIV/0!
10,#DIV/0!,#DIV/0!,#DIV/0!
15,#DIV/0!,#DIV/0!,#DIV/0!
20,#DIV/0!,#DIV/0!,20
25,#DIV/0!,25,25
30,30,15,30
35,35,17.5,35
40,20,20,40
45,22.5,22.5,45
50,25,25,50
55,13.75,27.5,27.5
60,15,30,15
65,16.25,16.25,16.25
70,17.5,17.5,17.5
75,18.75,15,15
80,20,16,16
85,21.25,17,17
90,22.5,18,18
95,23.75,19,19
100,25,20,16.66666667
105,26.25,21,17.5
110,22,22,18.33333333
115,23,23,19.16666667
120,20,24,20
125,20.83333333,20.83333333,17.85714286
130,16.25,18.57142857,18.57142857
135,16.875,19.28571429,19.28571429
140,17.5,20,20
145,18.125,20.71428571,18.125
150,18.75,21.42857143,18.75
155,19.375,19.375,19.375
160,20,20,20
165,20.625,20.625,20.625
170,21.25,21.25,18.88888889
175,21.875,21.875,19.44444444
180,22.5,22.5,20
185,23.125,23.125,18.5
190,23.75,23.75,19
195,24.375,24.375,19.5
200,25,25,20
205,25.625,25.625,20.5
210,26.25,26.25,21
215,23.88888889,23.88888889,21.5
220,24.44444444,24.44444444,22
225,22.5,25,20.45454545
230,20.90909091,25.55555556,20.90909091
235,19.58333333,26.11111111,19.58333333
240,20,24,20
245,20.41666667,22.27272727,18.84615385
250,20.83333333,22.72727273,19.23076923
255,21.25,23.18181818,19.61538462
260,21.66666667,23.63636364,20
265,22.08333333,22.08333333,20.38461538
270,22.5,22.5,19.28571429
275,22.91666667,22.91666667,18.33333333
280,23.33333333,23.33333333,17.5
285,23.75,23.75,16.76470588
290,24.16666667,22.30769231,17.05882353
295,24.58333333,22.69230769,16.38888889
300,25,21.42857143,16.66666667
305,23.46153846,21.78571429,16.94444444
310,22.14285714,20.66666667,16.31578947
315,22.5,19.6875,16.57894737
320,22.85714286,20,16.84210526
325,23.21428571,20.3125,17.10526316
330,23.57142857,18.33333333,17.36842105
335,23.92857143,18.61111111,17.63157895
340,24.28571429,18.88888889,17.89473684
345,24.64285714,18.15789474,18.15789474
350,25,17.5,18.42105263
355,25.35714286,17.75,18.68421053
360,25.71428571,18,18.94736842
365,22.8125,18.25,19.21052632
370,23.125,18.5,19.47368421
375,23.4375,18.75,18.75
380,22.35294118,19,18.0952381
385,22.64705882,19.25,18.33333333
390,22.94117647,19.5,17.72727273
395,21.94444444,19.75,17.95454545
400,22.22222222,20,17.39130435
405,22.5,20.25,16.875
410,22.77777778,20.5,17.08333333
415,21.84210526,20.75,17.29166667
420,22.10526316,20,16.8
425,22.36842105,20.23809524,17
430,22.63157895,19.54545455,17.2
435,20.71428571,18.125,16.73076923
440,20.95238095,18.33333333,16.92307692
445,21.19047619,18.54166667,17.11538462
450,21.42857143,17.30769231,17.30769231
455,21.66666667,17.5,16.85185185
460,20.90909091,17.69230769,16.42857143
465,21.13636364,17.88461538,16.60714286
470,21.36363636,17.40740741,16.78571429
475,19.79166667,17.59259259,16.96428571
480,20,17.77777778,17.14285714
