items,hot,stx,seq,Elastic
10,1108647,2063031.364,1259354.727,2063031.364
20,1025641,1886585.636,1164038.636,1886585.636
30,1007049,1798862.909,1119385.091,1798862.909
40,977517,1718223.545,1087938.636,1718223.545
50,979431,1652432,1072259.182,1652432
60,968054,1598608.727,1053254.455,1359543.182
70,951474,1544956.818,1033957,1162348.818
80,930232,1499906.636,1014264.636,1043187.091
90,924214,1455324.636,992551.0909,978621.4545
100,903342,1394425,974347.7273,938432
90,905797,1397235.727,970903.3636,932172.7273
80,900900,1389696.909,970944,921576.6364
70,904159,1383416.636,974859,904919.3636
60,915750,1390074.182,980811,898612.0909
50,915750,1403925,984482.7273,931417.3636
40,909918,1445293.818,989281.6364,1261105.636
30,927643,1488314.273,1001685.364,1503178.909
20,919963,1559018.091,1024865.727,1635281.545
10,956022,1699175.091,1093020.818,1763493.091
