histogram_level,histogram_step,keys_in_step,FP_precent,FP_keys
1,0.005,3894,0,0
2,0.01,441473,0,0
3,0.015,38281,0,0
4,0.02,2668,7.50,2
5,0.025,254,0,0
6,0.03,77,0,0
7,0.035,57,0,0
8,0.04,23,0,0
9,0.045,28,0,0
10,0.05,33,12.12,4
11,0.055,47,36.17,17
12,0.06,62,41.94,26
13,0.065,57,52.63,30
14,0.07,48,81.25,39
15,0.075,42,66.67,28
16,0.08,30,50,15
17,0.085,25,60,15
18,0.09,24,37.50,9
19,0.095,21,33.33,7
20,0.1,6,0,0
21,0.105,21,52.38,11
22,0.11,14,50,7
23,0.115,20,45,9
24,0.12,24,58.33,14
25,0.125,29,51.72,15
26,0.13,29,44.83,13
27,0.135,17,23.53,4
28,0.14,17,35.29,6
29,0.145,7,28.57,2
30,0.15,8,12.50,1
31,0.155,17,41.18,7
32,0.16,11,63.64,7
33,0.165,13,53.85,7
34,0.17,8,12.50,1
35,0.175,9,11.11,1
36,0.18,10,20,2
37,0.185,5,0,0
38,0.19,13,0,0
39,0.195,14,14.29,2
40,0.2,7,0,0
41,0.205,8,12.50,1
42,0.21,9,11.11,1
43,0.215,10,10,1
44,0.22,10,10,1
45,0.225,12,0,0
46,0.23,8,0,0
47,0.235,8,0,0
48,0.24,6,0,0
49,0.245,10,10,1
50,0.25,13,0,0
51,0.255,3,0,0
52,0.26,14,7.14,1
53,0.265,10,20,2
54,0.27,10,0,0
55,0.275,7,0,0
56,0.28,5,0,0
57,0.285,5,0,0
58,0.29,8,12.50,1
59,0.295,11,0,0
60,0.3,3,0,0
61,0.305,9,0,0
62,0.31,11,0,0
63,0.315,4,0,0
64,0.32,7,0,0
65,0.325,5,0,0
66,0.33,4,0,0
67,0.335,11,0,0
68,0.34,2,0,0
69,0.345,9,0,0
70,0.35,7,0,0
71,0.355,7,0,0
72,0.36,4,0,0
73,0.365,10,0,0
74,0.37,8,0,0
75,0.375,8,0,0
76,0.38,7,0,0
77,0.385,9,0,0
78,0.39,8,0,0
79,0.395,7,0,0
80,0.4,11,0,0
81,0.405,9,0,0
82,0.41,6,0,0
83,0.415,10,0,0
84,0.42,10,0,0
85,0.425,7,0,0
86,0.43,9,0,0
87,0.435,7,0,0
88,0.44,7,0,0
89,0.445,10,0,0
90,0.45,7,14.29,1
91,0.455,9,0,0
92,0.46,8,0,0
93,0.465,8,0,0
94,0.47,7,0,0
95,0.475,11,0,0
96,0.48,11,9.09,1
97,0.485,9,0,0
98,0.49,7,0,0
99,0.495,5,0,0
100,0.5,9,0,0
101,0.505,4,0,0
102,0.51,12,0,0
103,0.515,15,6.67,1
104,0.52,6,0,0
105,0.525,12,0,0
106,0.53,10,0,0
107,0.535,12,0,0
108,0.54,7,0,0
109,0.545,5,0,0
110,0.55,7,0,0
111,0.555,3,0,0
112,0.56,11,0,0
113,0.565,10,0,0
114,0.57,7,0,0
115,0.575,8,0,0
116,0.58,8,0,0
117,0.585,9,0,0
118,0.59,20,5,1
119,0.595,10,0,0
120,0.6,13,0,0
121,0.605,9,0,0
122,0.61,9,0,0
123,0.615,10,0,0
124,0.62,14,0,0
125,0.625,3,0,0
126,0.63,12,0,0
127,0.635,12,0,0
128,0.64,5,0,0
129,0.645,3,0,0
130,0.65,8,0,0
131,0.655,14,0,0
132,0.66,4,0,0
133,0.665,12,0,0
134,0.67,7,0,0
135,0.675,9,33.33,3
136,0.68,13,0,0
137,0.685,7,0,0
138,0.69,9,0,0
139,0.695,10,0,0
140,0.7,11,18.18,2
141,0.705,9,11.11,1
142,0.71,4,0,0
143,0.715,9,0,0
144,0.72,11,0,0
145,0.725,7,0,0
146,0.73,7,0,0
147,0.735,10,10,1
148,0.74,9,11.11,1
149,0.745,10,0,0
150,0.75,7,0,0
